实际值	预测值
1	1.0007874
1	1.1149856
1	1.1368097
1	0.97178996
1	1.0693362
1	1.0058367
1	0.9996464
1	0.9988432
1	0.9995775
1	0.9999292
1	1.1263756
1	1.1443956
1	1.0959109
1	0.99301845
1	0.9992796
1	1.0014588
1	1.022834
1	0.9965692
1	1.1801633
1	0.9983133
1	1.0623077
1	0.99983567
1	1.0153221
1	0.9963227
1	0.99933
1	1.0132223
1	0.9986264
1	0.96897787
1	0.9978334
1	0.98872393
1	1.0829563
1	0.99849546
1	0.9968828
1	0.9978791
1	0.99289846
1	1.0647112
1	1.1837115
1	0.98542464
1	1.1209042
1	1.0001711
1	1.0012684
1	0.99799967
1	0.99952215
1	0.9861896
1	0.9703613
2	1.2364069
1	0.99942195
1	0.9739218
1	0.99973303
1	1.0079062
1	0.99838835
1	1.0202322
1	0.99961966
1	1.013408
1	0.99966985
1	1.0013983
1	1.0249646
1	0.9996091
2	1.3779596
1	0.9955101
1	0.999892
1	0.9983852
1	0.9628895
1	0.999379
